name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img
Kevin Aguilar,https://www.ufc.com/athlete/kevin-aguilar,22,17,5,0,370.0,924.0,0.0,6.0,3.96,4.81,0.16,0.0,52.0,79.0,0.32,800.0,321.0,29.0,20.0,224.0,126.0,20.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71419%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILAR_KEVIN_L_05-15.png?itok=02cJi6Gk
Jessica Aguilar,https://www.ufc.com/athlete/jessica-aguilar,28,20,8,0,314.0,620.0,4.0,16.0,4.93,7.19,0.94,0.24,54.0,50.0,0.0,764.0,194.0,96.0,24.0,168.0,88.0,58.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Jessica_Aguilar/AGUILAR_JESSICA_L.png?VersionId=u4Bhw7DC8WEfwM7pt2FUHKOw2N_JjbnF&itok=MrlX22s5
Jesus Aguilar,https://www.ufc.com/athlete/jesus-aguilar,15,12,3,0,170.0,420.0,0.0,22.0,2.65,1.85,1.64,1.4,63.0,49.0,0.23,550.0,133.0,18.0,19.0,94.0,36.0,40.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-09/AGUILAR_JESUS_L_09-13.png?itok=VaqTvi3t
Christian Aguilera,https://www.ufc.com/athlete/christian-aguilera,22,14,8,0,27.0,72.0,0.0,1.0,2.54,4.04,0.0,0.0,49.0,60.0,0.0,213.0,27.0,0.0,0.0,16.0,3.0,8.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/71629%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILERA_CHRISTIAN_L_05-08.png?itok=BtcdAi4o
Nick Aguirre,https://www.ufc.com/athlete/nick-aguirre,9,7,2,0,19.0,56.0,0.0,10.0,0.73,2.89,1.16,0.58,46.0,33.0,0.0,779.0,18.0,1.0,0.0,18.0,1.0,0.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/AGUIRRE_NICK_L_01-14.png?itok=GVb_QPBM
Ashiek Ajim,https://www.ufc.com/athlete/ashiek-ajim,1,0,1,0,4.0,10.0,0.0,0.0,5.0,11.25,0.0,0.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/AJIM_ASHIEK_L.png?itok=FJkNCoLD
Omari Akhmedov,https://www.ufc.com/athlete/omari-akhmedov,28,21,6,1,535.0,1556.0,19.0,68.0,2.97,2.84,2.58,0.25,56.0,66.0,0.17,721.0,389.0,65.0,81.0,383.0,89.0,63.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/68949%252Fprofile-galery%252Ffullbodyleft-picture%252FAKHMEDOV_OMARI_L_07-10.png?itok=rbU9pxFB
Yoshihiro Akiyama,https://www.ufc.com/athlete/yoshihiro-akiyama,21,15,6,0,466.0,1122.0,12.0,34.0,3.1,3.62,2.29,1.0,58.0,93.0,0.4,410.0,316.0,28.0,122.0,374.0,27.0,65.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69542/profile-galery/fullbodyleft-picture/Yoshihiro-Akiyama_1044_LeftFullBodyImage.png?VersionId=RUae1jr6ZXoXCdoQQf6Q611OPR_c96l0&itok=UBA08-Cc
Rostem Akman,https://www.ufc.com/athlete/rostam-akman,2,0,2,0,54.0,210.0,2.0,5.0,1.8,3.97,1.0,0.0,58.0,88.0,0.0,900.0,42.0,12.0,0.0,38.0,12.0,4.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71542/profile-galery/fullbodyleft-picture/AKMAN_ROSTAM_L.png?VersionId=s0Xyj_DSjzTjrVVAvaeImvkXyz9WVs3Z&itok=71bb3LPi
Mostapha Al Turk,https://www.ufc.com/athlete/mostapha-al-turk,12,6,6,0,31.0,161.0,0.0,9.0,1.36,3.61,0.0,0.0,53.0,0.0,7.0,0.0,28.0,3.0,0.0,13.0,3.0,15.0,
