fighter_name,ko/tko_wins,submission_wins,decision_wins,win_streak,lose_streak,longest_win_streak,longest_lose_streak,title_fight_wins,reach_in,height_in,weight_in,dob_in,stance_Open,stance_Orthodox,stance_Sideways,stance_Southpaw,stance_Switch,fighter_name_norm,name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img,name_norm
Thiago Moises,5,4,7,0,1,3,2,0,70.0,69.0,155.0,1995.0,False,True,False,False,False,thiago moises,Thiago Moisés,https://www.ufc.com/athlete/thiago-moises,28,19,9,0,424.0,1008.0,0.0,42.0,2.48,4.08,1.31,1.14,53.0,53.0,0.26,642.0,302.0,26.0,96.0,268.0,59.0,97.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/13/MOISES_THIAGO_L_01-11.png?itok=5g4vpQHi,thiago moises
Muhammad Mokaev,0,4,3,7,0,7,0,0,70.0,67.0,125.0,2000.0,False,True,False,False,False,muhammad mokaev,Muhammad Mokaev,https://www.ufc.com/athlete/liana-dzhodzhua-0,13,13,0,0,142.0,313.0,0.0,75.0,1.61,1.35,5.29,0.85,58.0,25.0,0.17,754.0,101.0,7.0,34.0,76.0,45.0,21.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/911ce7a0-a97f-497c-9a2d-b3bbfa3e50d8%252FMOKAEV_MUHAMMAD_L_03-19.png?itok=Gh5YDJ67,muhammad mokaev
Ashkan Mokhtarian,1,0,1,0,2,0,2,0,67.0,66.0,125.0,1985.0,False,False,False,True,False,ashkan mokhtarian,Ashkan Mokhtarian,https://www.ufc.com/athlete/ashkan-mokhtarian,16,13,3,0,54.0,124.0,1.0,6.0,1.95,3.66,0.54,0.0,44.0,33.0,0.0,829.0,51.0,1.0,2.0,22.0,13.0,19.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67410/profile-galery/fullbodyleft-picture/Ashkan-Mokhtarian_624468_LeftFullBodyImage.png?VersionId=nYZsg2v5CiTZLXiVO4PuVnHgQwcOJN4G&itok=W0j2a05A,ashkan mokhtarian
Suman Mokhtarian,1,0,1,0,2,0,2,0,72.0,68.0,145.0,1992.0,False,True,False,False,False,suman mokhtarian,Suman Mokhtarian,https://www.ufc.com/athlete/suman-mokhtarian,10,8,2,0,38.0,88.0,0.0,1.0,2.21,6.85,0.0,0.0,49.0,0.0,8.0,0.0,32.0,4.0,2.0,15.0,11.0,12.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-11/MOKHTARIAN_SUMAN_L.png?VersionId=SfIe53BgR5hNF_9q2dve7r2EpHtMuwhO&itok=PuS4ZDkC,suman mokhtarian
Rudyard Moncayo,0,1,0,0,1,0,1,0,72.0,70.0,195.0,1973.0,False,True,False,False,False,rudyard moncayo,Rudyard Moncayo,https://www.ufc.com/athlete/neyt-mor-0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,rudyard moncayo
Jeff Monson,2,3,7,0,2,3,2,0,74.0,69.0,247.0,1971.0,False,True,False,False,False,jeff monson,Jeff Monson,https://www.ufc.com/athlete/jeff-monson,29,24,5,0,110.0,365.0,0.0,65.0,0.97,2.87,1.06,0.66,59.0,67.0,0.13,701.0,49.0,33.0,28.0,73.0,25.0,12.0,,jeff monson
Darrell Montague,2,0,1,0,3,0,3,0,67.0,66.0,125.0,1987.0,False,False,False,True,False,darrell montague,Darrell Montague,https://www.ufc.com/athlete/darrell-montague,18,13,5,0,40.0,155.0,0.0,4.0,1.92,5.38,0.72,1.44,53.0,33.0,0.0,416.0,39.0,1.0,0.0,23.0,7.0,10.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/f90a3d53-16be-4281-b125-f9ac17b44c9d%252FDarrell-Montague_452694_LeftFullBodyImage.png?itok=HgmFZWt6,darrell montague
Michelle Montague,0,0,1,1,0,1,0,0,68.0,69.0,135.0,1993.0,False,False,False,True,False,michelle montague,Michelle Montague,https://www.ufc.com/athlete/michelle-montague,7,7,0,0,41.0,88.0,5.0,7.0,2.73,3.2,5.0,0.0,41.0,0.0,15.0,0.0,12.0,1.0,28.0,34.0,6.0,1.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-09/MONTAGUE_MICHELLE_L_09-27.png?itok=vlzQNQDU,michelle montague
Augusto Montano,2,0,1,0,2,1,2,0,73.0,73.0,170.0,1984.0,False,True,False,False,False,augusto montano,Augusto Montano,https://www.ufc.com/athlete/augusto-montano,18,15,3,0,118.0,256.0,0.0,0.0,3.46,2.66,0.0,0.0,57.0,67.0,0.0,683.0,85.0,29.0,4.0,40.0,22.0,56.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/62ac3604-855f-42cf-8c8e-3c121f81dee4%252Faugusto-montano_489258_LeftFullBodyImage.png?itok=l-Plx2cU,augusto montano
Erick Montano,1,1,1,0,2,1,2,1,73.0,72.0,170.0,1985.0,False,True,False,False,False,erick montano,Erick Montano,https://www.ufc.com/athlete/erick-montano,13,8,5,0,73.0,164.0,0.0,11.0,2.79,2.06,2.29,0.0,65.0,67.0,0.0,524.0,58.0,10.0,5.0,41.0,7.0,25.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/3c4e9440-0dba-4c76-aa7c-e3abdaaaba29%252Ferick-montano_569097_LeftFullBodyImage.png?itok=4M0JtuPn,erick montano
